iata_id,airline,alias,icao,callsign,country,active
10,Canadian World,,CNN,Canadian,Canada,N
11,TUIfly (X3),,\N,,Germany,Y
12,12 North,,N12,12N,India,Y
13,Eastern Atlantic Virtual Airlines,,EAV,EAVA,United States,Y
20,Air Salone,\N,RNE,AIR SALONE,Sierra Leone,Y
24,Euro Jet,,\N,,Germany,Y
47,88,,VVN,,Cyprus,Y
69,Royal European Airlines,,\N,,United Kingdom,Y
76,Southjet,,SJS,,United States,Y
77,Southjet connect,,ZCS,,United States,Y
78,Southjet cargo,,XAN,,United States,Y
88,All Australia,All Australia,8K8,,Australia,Y
99,Ciao Air,,\N,,Italy,Y
0A,Amber Air,\N,GNT,GINTA,Lithuania,N
0B,Blue Air,\N,JOR,BLUE TRANSPORT,Romania,Y
0D,Darwin Airline,\N,DWT,DARWIN,Switzerland,Y
0E,Dummy,,\N,,France,N
0G,Global Airlines,Global Airlines,GA0,,Argentina,Y
0J,Jetclub,\N,,,Switzerland,N
0J,Jetclub,\N,JCS,JETCLUB,Switzerland,N
0M,All America MX,All America México,0MM,,Mexico,Y
0P,All America BOPY,All America BOPY,PYB,BOPY,Paraguay,Y
0X,Copenhagen Express,,CX0,Copex,Denmark,Y
0Y,All America CO,All America Colombia,7ZC,,Colombia,Y
1A,Amadeus Global Travel Distribution,\N,AGT,AMADEUS,Spain,N
1B,Abacus International,\N,,,Singapore,Y
1C,Electronic Data Systems,\N,,,Switzerland,N
1C,OneChina,OneChina,1CH,,China,Y
1D,Radixx Solutions International,\N,,,United States,N
1E,Travelsky Technology,\N,,,China,N
1E,TransRussiaAirlines,TransRus,RGG,,Russia,Y
1F,INFINI Travel Information,\N,,,Japan,N
1F,CB Airways UK ( Interliging Flights ),,CIF,,United Kingdom,Y
1G,Galileo International,\N,,,United States,N
1H,Siren-Travel,\N,,,Russia,N
1H,Hellenic Airways,,HEY,Hellenic,Greece,N
1I,Deutsche Rettungsflugwacht,\N,AMB,CIVIL AIR AMBULANCE,Germany,N
1I,NetJets,\N,EJA,EXECJET,United States,Y
1I,Novair,\N,NVR,NAVIGATOR,Sweden,Y
1I,Pegasus Hava Tasimaciligi,\N,,,Turkey,N
1I,Sierra Nevada Airlines,\N,,,United States,N
1I,Sky Trek International Airlines,\N,,,,N
1I,Sky Trek International Airlines,\N,PZR,PHAZER,United States,N
1K,Southern Cross Distribution,\N,,,Australia,N
1K,Sutra,\N,,,United States,N
1K,BudgetAir,BudgetAir,BG1,,Germany,Y
