city,state,median_age,male_population,female_population,total_population,number_of_veterans,foreign_born,average_household_size,state_code,race,count
Abilene,Texas,31.3,65212,60664,125876,9367,8129,2.64,TX,American Indian and Alaska Native,1813
Abilene,Texas,31.3,65212,60664,125876,9367,8129,2.64,TX,Hispanic or Latino,33222
Abilene,Texas,31.3,65212,60664,125876,9367,8129,2.64,TX,White,95487
Abilene,Texas,31.3,65212,60664,125876,9367,8129,2.64,TX,Asian,2929
Abilene,Texas,31.3,65212,60664,125876,9367,8129,2.64,TX,Black or African-American,14449
Akron,Ohio,38.1,96886,100667,197553,12878,10024,2.24,OH,Black or African-American,66551
Akron,Ohio,38.1,96886,100667,197553,12878,10024,2.24,OH,White,129192
Akron,Ohio,38.1,96886,100667,197553,12878,10024,2.24,OH,American Indian and Alaska Native,1845
Akron,Ohio,38.1,96886,100667,197553,12878,10024,2.24,OH,Asian,9033
Akron,Ohio,38.1,96886,100667,197553,12878,10024,2.24,OH,Hispanic or Latino,3684
Alafaya,Florida,33.5,39504,45760,85264,4176,15842,2.94,FL,White,63666
Alafaya,Florida,33.5,39504,45760,85264,4176,15842,2.94,FL,Asian,10336
Alafaya,Florida,33.5,39504,45760,85264,4176,15842,2.94,FL,Hispanic or Latino,34897
Alafaya,Florida,33.5,39504,45760,85264,4176,15842,2.94,FL,Black or African-American,6577
Alameda,California,41.4,37747,40867,78614,4504,18841,2.52,CA,American Indian and Alaska Native,1329
Alameda,California,41.4,37747,40867,78614,4504,18841,2.52,CA,Hispanic or Latino,8265
Alameda,California,41.4,37747,40867,78614,4504,18841,2.52,CA,White,44232
Alameda,California,41.4,37747,40867,78614,4504,18841,2.52,CA,Black or African-American,7364
Alameda,California,41.4,37747,40867,78614,4504,18841,2.52,CA,Asian,27984
Albany,Georgia,33.3,31695,39414,71109,5409,861,2.38,GA,American Indian and Alaska Native,445
Albany,Georgia,33.3,31695,39414,71109,5409,861,2.38,GA,White,17160
Albany,New York,32.8,47627,50825,98452,3643,11948,2.08,NY,American Indian and Alaska Native,1611
Albany,Georgia,33.3,31695,39414,71109,5409,861,2.38,GA,Asian,650
Albany,New York,32.8,47627,50825,98452,3643,11948,2.08,NY,Hispanic or Latino,9368
Albany,New York,32.8,47627,50825,98452,3643,11948,2.08,NY,White,58368
Albany,Georgia,33.3,31695,39414,71109,5409,861,2.38,GA,Black or African-American,53440
Albany,New York,32.8,47627,50825,98452,3643,11948,2.08,NY,Black or African-American,31303
Albany,New York,32.8,47627,50825,98452,3643,11948,2.08,NY,Asian,8090
Albany,Georgia,33.3,31695,39414,71109,5409,861,2.38,GA,Hispanic or Latino,1783
Albuquerque,New Mexico,36,273323,285808,559131,37443,58200,2.49,NM,White,411847
Albuquerque,New Mexico,36,273323,285808,559131,37443,58200,2.49,NM,Asian,25140
Albuquerque,New Mexico,36,273323,285808,559131,37443,58200,2.49,NM,Hispanic or Latino,271854
Albuquerque,New Mexico,36,273323,285808,559131,37443,58200,2.49,NM,American Indian and Alaska Native,32243
Albuquerque,New Mexico,36,273323,285808,559131,37443,58200,2.49,NM,Black or African-American,26774
Alexandria,Virginia,36.6,74989,78522,153511,10635,44030,2.2,VA,American Indian and Alaska Native,1133
Alexandria,Virginia,36.6,74989,78522,153511,10635,44030,2.2,VA,Hispanic or Latino,25573
Alexandria,Virginia,36.6,74989,78522,153511,10635,44030,2.2,VA,White,106215
Alexandria,Virginia,36.6,74989,78522,153511,10635,44030,2.2,VA,Black or African-American,37168
Alexandria,Virginia,36.6,74989,78522,153511,10635,44030,2.2,VA,Asian,13315
Alhambra,California,41,42184,43388,85572,1673,44441,2.89,CA,American Indian and Alaska Native,687
Alhambra,California,41,42184,43388,85572,1673,44441,2.89,CA,Asian,44067
Alhambra,California,41,42184,43388,85572,1673,44441,2.89,CA,White,20811
